name,ratings,ctype_and_loc,reviews,salaries
Manappuram Finance,3.9,NBFC | Bengaluru +659 other locations,5.7k,9.7k
GlobalLogic,3.5,IT Services & Consulting | Hyderabad +62 other locations,5.7k,41.2k
Firstsource Solutions,3.5,BPO | Bengaluru +74 other locations,5.7k,24.7k
ICICI Lombard General Insurance Company,3.5,Insurance | Mumbai +319 other locations,5.7k,20.2k
Tata Capital,4.0,NBFC | Mumbai +450 other locations,5.7k,16k
Shapoorji Pallonji Group,4.1,Engineering & Construction | Mumbai +189 other locations,5.7k,15.6k
Standard Chartered,3.6,Banking | Chennai +67 other locations,5.7k,42.3k
UST,3.7,IT Services & Consulting | Bengaluru +52 other locations,5.6k,40k
Apollo Hospitals,4.1,Healthcare | Chennai +228 other locations,5.6k,16.6k
Mahindra Finance,3.9,NBFC | Mumbai +737 other locations,5.6k,12.2k
Bosch Global Software Technologies,3.7,IT Services & Consulting | Bengaluru +47 other locations,5.6k,40.9k
Ashok Leyland,4.0,Automobile | Chennai +266 other locations,5.6k,18.8k
Swiggy,3.7,Internet | Bengaluru +238 other locations,5.5k,23.4k
Citicorp,3.6,Financial Services | Pune +68 other locations,5.5k,53.8k
Hero MotoCorp,4.1,Automobile | Gurugram +370 other locations,5.4k,16k
CGI Group,4.0,IT Services & Consulting | Bengaluru +44 other locations,5.4k,46.6k
Cyient,3.6,IT Services & Consulting | Hyderabad +49 other locations,5.3k,27.6k
SBI Cards & Payment Services,3.6,Financial Services | Gurugram +444 other locations,5.3k,16k
BNY,3.6,Financial Services | Pune +27 other locations,5.2k,31.6k
Kalpataru Projects International,4.2,Engineering & Construction | Mumbai +325 other locations,5.2k,13.6k
NTT DATA,3.8,IT Services & Consulting | Bengaluru +81 other locations,5.2k,37k
IQVIA,3.7,Clinical Research | Bengaluru +67 other locations,5.2k,31.4k
Nagarjuna Construction Company,4.0,Engineering & Construction | Hyderabad +298 other locations,5.2k,12.4k
JustDial,3.5,Internet | Noida +232 other locations,5.1k,15.7k
Schneider Electric,4.1,Industrial Automation | Bengaluru +120 other locations,5.1k,25.3k
SBI Life Insurance Company,3.7,Insurance | Mumbai +658 other locations,5.1k,12.1k
TVS Motor,3.9,Automobile | Hosur +353 other locations,5.1k,16.2k
CBRE,4.1,Real Estate | Hyderabad +92 other locations,5.1k,19k
Persistent Systems,3.6,IT Services & Consulting | Pune +41 other locations,5k,46.1k
State Bank of India,3.8,Banking | Mumbai +626 other locations,4.9k,11.7k
Atos,3.8,IT Services & Consulting | Pune +49 other locations,4.9k,33.8k
vivo,4.1,Consumer Electronics & Appliances | Noida +415 other locations,4.9k,13k
KEC International,4.0,Engineering & Construction | Mumbai +314 other locations,4.9k,13.7k
Amdocs,3.6,Software Product | Pune +24 other locations,4.8k,37.5k
Ecom Express,4.0,Logistics | Gurugram +779 other locations,4.8k,9.5k
ITC Infotech,3.8,IT Services & Consulting | Bengaluru +68 other locations,4.8k,29.9k
JBM Group,3.9,Auto Components | Gurugram +118 other locations,4.8k,14k
Varun Beverages,4.0,Beverage | New Delhi +383 other locations,4.8k,12k
Eviden,3.6,IT Services & Consulting | Pune +39 other locations,4.8k,27.1k
Nagarro,3.9,IT Services & Consulting | Gurugram +49 other locations,4.7k,32.9k
Randstad,3.7,Recruitment | Hyderabad +362 other locations,4.7k,16.8k
Utkarsh Small Finance Bank,3.6,Banking | Varanasi +413 other locations,4.7k,11.3k
Bosch,4.1,Auto Components | Bengaluru +132 other locations,4.7k,21.1k
EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting | Bengaluru +56 other locations,4.6k,51.2k
Hewlett Packard Enterprise,4.0,IT Services & Consulting | Bengaluru +104 other locations,4.6k,27.4k
Aditya Birla Fashion and Retail,4.0,Fashion & Textile | Bengaluru +293 other locations,4.6k,13.4k
Cars24,3.5,Internet | Gurugram +172 other locations,4.6k,15.5k
L&T Finance,3.9,NBFC | Mumbai +644 other locations,4.6k,11.5k
Home Credit Finance,4.0,NBFC | Gurugram +139 other locations,4.6k,9.3k
